dec ra theta_jn psi phase geocent_time a_1 a_2 tilt_1 tilt_2 phi_12 phi_jl luminosity_distance mass_1 mass_2 snr
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 180.2486 16 16 59.98804026629838
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 205.24904 18 18 59.603625004844005
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 213.94344 20 20 60.423613590375794
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 235.45705 22 22 60.670853877016306
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 261.93454 24 24 60.68307028394028
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 280.8894 26 26 59.89070259906517
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 291.5733 28 28 59.63680922587319
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 299.8741 30 30 59.8793417311519
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 310.43375 32 32 61.48454114140631
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 342.88858 34 34 60.47414857634082
0 0 1.5707963267948966 0 0 0.0 0.7 0.7 0.7953988301841436 0.7953988301841436 1.5707963267948966 0.2 369.68765 36 36 60.60962571469285
